id	fromNode	toNode	timeFT	timeTF	kind	begin	linenm_from	linenm_to	length_m	geometry_wkt
0	418	419	120.0	120.0	subway	1974-08-15	서울1호선	서울1호선	1162.450336776101	LINESTRING (946371.746395 1939831.202534, 946007.308357 1940935.048403)
1	419	420	150.0	150.0	subway	1974-08-15	서울1호선	서울1호선	1824.3339821256354	LINESTRING (946007.308357 1940935.048403, 945415.278179 1942660.648225)
2	332	333	120.0	120.0	subway	1974-08-15	서울1호선	서울1호선	1108.3438904604016	LINESTRING (932867.798382 1943527.845218, 933971.468815 1943426.170469)
3	417	418	180.0	180.0	subway	1974-08-15	서울1호선	서울1호선	2442.5233879966454	LINESTRING (947123.507522 1937511.361703, 947071.492573 1937780.754957, 947025.226489 1937993.355467, 946802.307695 1938628.872866, 946371.746395 1939831.202534)
4	411	412	120.0	120.0	subway	1974-08-15	서울1호선	서울1호선	1172.433527370138	LINESTRING (951136.505438 1927321.976553, 951159.175758 1928494.190881)
5	326	327	120.0	120.0	subway	1974-08-15	서울1호선	서울1호선	1029.1000221743689	LINESTRING (926438.056268 1941096.930152, 926912.3945 1941037.591497, 927155.4907 1941002.425007, 927459.246525 1940970.41301)
6	337	338	120.0	120.0	subway	1974-08-15	서울1호선	서울1호선	1335.207065165038	LINESTRING (939174.886445 1943116.380711, 939347.72453 1943189.535169, 939444.491203 1943235.127023, 939535.983118 1943311.65421, 939628.446602 1943400.904442, 939784.758491 1943555.071061, 939904.100197 1943668.873971, 940014.053372 1943770.125127, 940082.121583 1943830.456192, 940131.274296 1943862.954205, 940232.49933 1943903.284685)
7	416	417	150.0	150.0	subway	1974-08-15	서울1호선	서울1호선	1844.722103594452	LINESTRING (947662.560188 1935765.095996, 947540.9091 1935981.598726, 947474.25474 1936120.188902, 947372.006046 1936358.047798, 947303.544409 1936534.960562, 947274.867819 1936623.525589, 947245.968327 1936748.325828, 947123.507522 1937511.361703)
8	415	416	180.0	180.0	subway	1974-08-15	서울1호선	서울1호선	2368.8363686458756	LINESTRING (948916.540651 1933757.908127, 948325.393874 1934660.631854, 948102.902087 1935093.417292, 947662.560188 1935765.095996)
9	414	415	180.0	180.0	subway	1974-08-15	서울1호선	서울1호선	2240.3072491667417	LINESTRING (950032.123101 1931862.798229, 949847.168782 1932508.66901, 949818.556555 1932585.114262, 949773.687897 1932681.653578, 949716.752115 1932774.005647, 949647.70563 1932870.417162, 949578.829846 1932934.52911, 949299.062308 1933235.375188, 949181.447217 1933371.82737, 949120.481439 1933464.220512, 948916.540651 1933757.908127)
10	413	414	150.0	150.0	subway	1974-08-15	서울1호선	서울1호선	1497.8727557512238	LINESTRING (950699.236482 1930538.141864, 950585.22011 1930862.365218, 950514.862882 1931011.99696, 950454.394958 1931114.411205, 950367.707228 1931218.432241, 950307.483726 1931302.337546, 950205.525431 1931434.588291, 950160.360047 1931510.446333, 950115.092122 1931599.798801, 950032.123101 1931862.798229)
11	412	413	180.0	180.0	subway	1974-08-15	서울1호선	서울1호선	2128.6840515038075	LINESTRING (951159.175758 1928494.190881, 951168.550809 1929179.82771, 951168.077686 1929269.416955, 951149.721721 1929349.915098, 951022.465744 1929703.04915, 950699.236482 1930538.141864)
12	409	410	210.0	210.0	subway	1974-08-15	서울1호선	서울1호선	3353.455538140539	LINESTRING (953127.537287 1922504.181064, 952675.484211 1922557.704932, 952484.973554 1922590.843851, 952313.863294 1922653.355491, 952178.752372 1922766.21641, 951932.166722 1922969.150896, 951656.879438 1923235.39235, 951558.649927 1923356.860253, 951312.317073 1923804.42562, 951203.467103 1923979.067632, 951150.996061 1924089.780874, 951127.619219 1924168.753184, 951114.668729 1924266.867158, 951107.486895 1924384.722993, 951099.227152 1924734.158405)
13	408	409	210.0	210.0	subway	1974-08-15	서울1호선	서울1호선	2559.3768878961064	LINESTRING (954755.833584 1920682.031433, 954636.197536 1920934.371444, 954439.854629 1921256.366678, 954107.003746 1921760.831714, 953851.337431 1922136.032424, 953711.812751 1922298.549016, 953646.82724 1922353.654632, 953563.381514 1922402.508908, 953483.125839 1922432.886817, 953127.537287 1922504.181064)
14	407	408	180.0	180.0	subway	1974-08-15	서울1호선	서울1호선	2225.4830733540102	LINESTRING (955667.093138 1918652.043843, 955666.843231 1918652.632192, 955128.481193 1919898.496941, 954755.833584 1920682.031433)
15	420	342	330.0	330.0	subway	1974-08-15	서울1호선	서울1호선	2528.371258328971	LINESTRING (945415.278179 1942660.648225, 945277.610422 1943071.946873, 945200.239082 1943286.927266, 945181.005795 1943477.167762, 945178.704067 1943747.335979, 945129.878366 1944534.25104, 945140.639458 1944619.838252, 945156.751513 1944662.407569, 945181.896162 1944721.76842, 945223.074869 1944797.145708, 945404.945967 1945077.539365)
16	363	364	180.0	180.0	subway	1974-08-15	서울1호선	서울1호선	997.9453964641043	LINESTRING (961660.155793 1957403.279289, 961529.530702 1957799.454826, 961326.686685 1958343.671914)
17	362	363	150.0	150.0	subway	1974-08-15	서울1호선	서울1호선	1504.1691882595078	LINESTRING (961820.031406 1955928.355857, 961846.212342 1956167.422833, 961847.565222 1956627.155878, 961836.546944 1956800.023642, 961823.797205 1956898.349694, 961807.001488 1956984.996777, 961660.155793 1957403.279289)
18	361	362	90.0	90.0	subway	1974-08-15	서울1호선	서울1호선	685.2492426020696	LINESTRING (961489.883464 1955329.944903, 961689.39569 1955661.26048, 961768.820253 1955793.634785, 961820.031406 1955928.355857)
19	360	361	120.0	120.0	subway	1974-08-15	서울1호선	서울1호선	905.682944222672	LINESTRING (960992.151531 1954590.732324, 961126.371911 1954686.656216, 961203.087893 1954783.971149, 961240.872319 1954849.880486, 961295.620109 1954951.720558, 961489.883464 1955329.944903)
20	349	348	150.0	150.0	subway	1974-08-15	서울1호선	서울1호선	1457.7844860731218	LINESTRING (952669.818215 1947945.535635, 952988.146545 1948207.258559, 953110.352508 1948330.121608, 953174.610625 1948417.425807, 953228.897376 1948510.240277, 953262.436961 1948636.445217, 953295.023482 1948998.498716, 953295.920849 1949160.853604)
21	346	347	150.0	150.0	subway	1974-08-15	서울1호선	서울1호선	1407.5517863994528	LINESTRING (949293.594814 1946161.835386, 949708.598076 1946185.089353, 950359.955233 1946195.075182, 950698.618712 1946230.041942)
22	345	346	90.0	90.0	subway	1974-08-15	서울1호선	서울1호선	843.1469655686119	LINESTRING (948583.883049 1946559.211433, 948644.309843 1946533.76146, 948703.522471 1946500.80899, 948823.083661 1946390.790176, 949013.93301 1946223.829617, 949032.009554 1946208.118816, 949053.695737 1946195.051165, 949078.964959 1946183.751848, 949110.538851 1946173.48557, 949161.494325 1946166.508314, 949293.594814 1946161.835386)
23	344	345	150.0	150.0	subway	1974-08-15	서울1호선	서울1호선	977.4201009697996	LINESTRING (947634.770046 1946428.503674, 947731.324111 1946484.038948, 947852.437195 1946530.68519, 947966.791048 1946556.864483, 948102.348858 1946564.820839, 948389.136097 1946577.919888, 948493.902466 1946574.248557, 948583.883049 1946559.211433)
24	343	344	150.0	150.0	subway	1974-08-15	서울1호선	서울1호선	1600.2674318144916	LINESTRING (946213.872493 1945692.492186, 946670.015515 1945935.551551, 947208.985114 1946208.548142, 947634.770046 1946428.503674)
25	342	343	120.0	120.0	subway	1974-08-15	서울1호선	서울1호선	1018.4217381675369	LINESTRING (945404.945967 1945077.539365, 945499.601414 1945175.835865, 945664.642729 1945301.233471, 945865.335239 1945456.988566, 946213.872493 1945692.492186)
26	341	342	180.0	180.0	subway	1974-08-15	서울1호선	서울1호선	1368.1486214855645	LINESTRING (944294.987977 1944295.97902, 944922.990234 1944657.607973, 945130.859828 1944791.221702, 945404.945967 1945077.539365)
27	340	341	120.0	120.0	subway	1974-08-15	서울1호선	서울1호선	1063.9829682970246	LINESTRING (943303.017328 1944131.40954, 943544.739514 1944066.277715, 943592.497411 1944055.472395, 943639.424277 1944048.223821, 943717.27175 1944041.951232, 943806.619111 1944046.672914, 943879.035264 1944069.11066, 943966.399373 1944117.992604, 944294.987977 1944295.97902)
28	339	340	150.0	150.0	subway	1974-08-15	서울1호선	서울1호선	1261.0407762181712	LINESTRING (942082.171458 1944113.411305, 942305.926467 1944178.795079, 942582.600639 1944255.794493, 942637.096644 1944270.327765, 942666.397638 1944276.293277, 942689.815643 1944278.29162, 942724.289852 1944274.788149, 942782.117355 1944261.912001, 942995.83739 1944205.066205, 943303.017328 1944131.40954)
29	338	339	180.0	180.0	subway	1974-08-15	서울1호선	서울1호선	1874.1805427863578	LINESTRING (940232.49933 1943903.284685, 940331.187282 1943930.668758, 940507.41302 1943965.818431, 940785.812871 1943967.632626, 941202.457002 1943963.467089, 941367.7988 1943963.718167, 941456.708942 1943968.37504, 941550.699634 1943981.055775, 941711.324125 1944016.768335, 942082.171458 1944113.411305)
30	336	337	150.0	150.0	subway	1974-08-15	서울1호선	서울1호선	1500.7812133294406	LINESTRING (937735.329075 1942851.703846, 937985.278621 1942855.390104, 938245.84284 1942824.800485, 938378.559893 1942809.37511, 938483.910309 1942833.366341, 938599.947157 1942876.149687, 938711.460963 1942922.042408, 938961.769378 1943028.515133, 939174.886445 1943116.380711)
31	335	336	120.0	120.0	subway	1974-08-15	서울1호선	서울1호선	1166.9768635874689	LINESTRING (936581.748408 1942993.356428, 936919.155896 1942933.104862, 937062.903966 1942904.844325, 937233.588265 1942871.772766, 937404.150755 1942845.134896, 937735.329075 1942851.703846)
