id	linenm	statnm	x_5179	y_5179	lng	lat	begin	effective_begin	geometry_wkt
0	수인선	인천	921961.3068	1942281.998	126.61739620871003	37.476473822211084	2016-02-27		POINT (921961.3068 1942281.998)
1	수인선	신포	922592.9043	1941382.16	126.6246332893909	37.46841703400752	2016-02-27		POINT (922592.9043 1941382.16)
2	수인선	숭의	923795.0453	1940527.716	126.63831480610203	37.4608161096153	2016-02-27		POINT (923795.0453 1940527.716)
3	수인선	인하대	924798.8725	1939130.672	126.64980694680905	37.44830713131039	2016-02-27		POINT (924798.8725 1939130.672)
4	수인선	송도	925221.0553	1937074.466	126.65478796186453	37.42980924402058	2012-06-30		POINT (925221.0553 1937074.466)
5	수인선	연수	927348.3311	1935728.258	126.6789623618131	37.41784553580041	2012-06-30		POINT (927348.3311 1935728.258)
6	수인선	원인재	928006.567	1935203.924	126.68645152649337	37.41317119931518	2012-06-30		POINT (928006.567 1935203.924)
7	수인선	남동인더스파크	928783.7553	1934595.3	126.69529188478269	37.4077458307954	2012-06-30		POINT (928783.7553 1934595.3)
8	수인선	호구포	929962.4206	1933908.805	126.70867412094057	37.401648378662465	2012-06-30		POINT (929962.4206 1933908.805)
9	수인선	인천논현	931187.0678	1933789.828	126.72252081134845	37.40066783164519	2012-06-30		POINT (931187.0678 1933789.828)
10	수인선	소래포구	932162.0417	1933816.973	126.7335331014852	37.400984406873945	2012-06-30		POINT (932162.0417 1933816.973)
11	수인선	월곶	932972.6424	1932784.713	126.74278454368384	37.39173962241573	2012-06-30		POINT (932972.6424 1932784.713)
12	수인선	달월	933199.3989	1931477.03	126.74546415664179	37.37996977595952	2014-12-27		POINT (933199.3989 1931477.03)
13	수인선	오이도	932588.4062	1929547.467	126.73873910263131	37.36253426650221	2012-06-30		POINT (932588.4062 1929547.467)
14	수인선	정왕	932970.5904	1928324.413	126.74316535963786	37.351538459807195	2020-09-12		POINT (932970.5904 1928324.413)
15	수인선	신길온천	935057.1592	1926754.831	126.76686074735534	37.33753993989089	2020-09-12		POINT (935057.1592 1926754.831)
16	수인선	안산	936984.1095	1925538.627	126.78871588132898	37.32671081318423	2020-09-12		POINT (936984.1095 1925538.627)
17	수인선	초지	938507.5796	1924827.438	126.80596965155503	37.320402791526625	2020-09-12		POINT (938507.5796 1924827.438)
18	수인선	고잔	940025.7291	1924394.694	126.82313802359579	37.316601588372215	2020-09-12		POINT (940025.7291 1924394.694)
19	수인선	중앙	941391.3543	1924297.149	126.83855705066809	37.31580953244216	2020-09-12		POINT (941391.3543 1924297.149)
20	수인선	한대앞	942710.8674	1923587.734	126.85350263869414	37.3094976062416	2020-09-12		POINT (942710.8674 1923587.734)
21	수인선	사리	943004.8315	1921456.383	126.85698334917163	37.290304955756895	2020-09-12		POINT (943004.8315 1921456.383)
22	수인선	야목	945362.9851156345	1918229.434280087	126.88382360982709	37.261360434800835	2020-09-12		POINT (945362.985116 1918229.43428)
23	수인선	어천	947576.1286	1916962.235	126.9088706558487	37.250065721284265	2020-09-12		POINT (947576.1286 1916962.235)
24	수인선	오목천	952419.2206	1916160.595	126.96353008424018	37.2431000443475	2020-09-12		POINT (952419.2206 1916160.595)
25	수인선	고색	953955.1055	1916906.812	126.98080027365933	37.249903391786866	2020-09-12		POINT (953955.1055 1916906.812)
26	경강선	판교	965607.2325	1932924.107	127.11144319589552	37.39478218191577	2016-09-24		POINT (965607.2325 1932924.107)
27	경강선	이매	967012.1859	1932910.658	127.12731612795025	37.394712048440546	2016-09-24		POINT (967012.1859 1932910.658)
28	경강선	삼동	973753.846	1934440.922	127.20342545155974	37.408720901714815	2016-09-24		POINT (973753.846 1934440.922)
29	경강선	경기광주	978157.9958	1933346.974	127.25322304647938	37.39897470821774	2016-09-24		POINT (978157.9958 1933346.974)
30	경강선	초월	982281.8335	1930498.948	127.29988324527159	37.37339127196922	2016-09-24		POINT (982281.8335 1930498.948)
31	경강선	곤지암	986383.2935	1927955.7	127.34625353575343	37.35053613625162	2016-09-24		POINT (986383.2935 1927955.7)
32	경강선	신둔도예촌	991604.1104	1924073.639	127.40524573211431	37.315605515371374	2016-09-24		POINT (991604.1104 1924073.639)
33	경강선	이천	994874.1939	1918377.236	127.44219049160138	37.264282030974286	2016-09-24		POINT (994874.1939 1918377.236)
34	경강선	부발	999145.0649	1917934.424	127.49035843730856	37.26030423134139	2016-09-24		POINT (999145.0649 1917934.424)
35	경강선	세종대왕릉	1006248.866	1921637.967	127.57050292506307	37.29366739046331	2016-09-24		POINT (1006248.866 1921637.967)
36	경강선	여주	1011382.601	1920441.956	127.62840594382149	37.28283791250945	2016-09-24		POINT (1011382.601 1920441.956)
37	서해선	대곡	939092.6258	1959341.618	126.80971694247033	37.6315193723656	2023-07-01		POINT (939092.6258 1959341.618)
38	서해선	능곡	940005.1117	1957936.088	126.82017315331454	37.61891160398485	2023-07-01		POINT (940005.1117 1957936.088)
39	서해선	김포공항	938276.7978	1951666.627	126.80111883305007	37.56229141053487	2023-07-01		POINT (938276.7978 1951666.627)
40	서해선	원종	938572.9789	1947426.095	126.80482719962039	37.52409157447443	2023-07-01		POINT (938572.9789 1947426.095)
41	서해선	부천종합운동장	937889.2795	1945286.32	126.79727113029573	37.504760062681896	2023-07-01		POINT (937889.2795 1945286.32)
42	서해선	소사	937683.132	1942818.797	126.795147953885	37.48250639878709	2018-06-16		POINT (937683.132 1942818.797)
43	서해선	소새울	937846.269	1941286.836	126.79712236126383	37.468709790988314	2018-06-16		POINT (937846.269 1941286.836)
44	서해선	시흥대야	937466.3892	1939227.678	126.79300147213583	37.450124885738	2018-06-16		POINT (937466.3892 1939227.678)
45	서해선	신천	936893.0531	1938000.199	126.78662490342217	37.4390226021833	2018-06-16		POINT (936893.0531 1938000.199)
46	서해선	신현	936972.5885	1934730.753	126.78780310467383	37.40956023351403	2018-06-16		POINT (936972.5885 1934730.753)
47	서해선	시흥시청	938549.4557	1931632.696	126.80587773213608	37.38174292953505	2018-06-16		POINT (938549.4557 1931632.696)
48	서해선	시흥능곡	938789.8666	1930324.639	126.80870135802708	37.36996905926629	2018-06-16		POINT (938789.8666 1930324.639)
49	서해선	달미	938833.0954	1927978.797	126.80938332276071	37.34882831018429	2018-06-16		POINT (938833.0954 1927978.797)
