date	desc
1974-08-15	1호선 개통
1984-05-22	2호선 개통
1985-10-18	3,4호선 개통
1994-09-01	분당선 개통
1996-12-30	5호선 개통
2000-12-15	6,7호선 개통
2009-07-24	9호선 개통
2010-10-29	공항철도 서울역 개통
2011-10-28	신분당선 개통
2015-03-28	9호선 연장
2016-09-24	인천2호선,경강선 개통
2017-09-02	우이선 개통
2018-06-16	서해선 개통
2019-07-25	김포도시철도 개통
2019-12-01	수인선 연결
2022-02-28	신림선 개통
2024-12-18	GTX_A 개통
2026-05-04	현재
2026-07-01	GTX_A 서울역/수서 연결
2027-01-01	위례선경전철 개통(예정)
2028-08-31	동북선, GTX_A 삼성역 개통(예정)
2028-12-31	신안산선 개통(예정)
2031-07-01	GTX_B 개통(예정)
2032-12-31	GTX-C 개통(불확실)
