정류소명,정류소아이디,총승차건수,총하차건수,승차건수(카드),하차건수(카드),승차건수(현금),일평균승하차건수
(구)국제여객터미널,35051,20,1219,6,1219,14,41
(구)국제여객터미널,35052,1537,32,1532,32,5,52
(구)시민회관사거리,37319,4668,45078,4658,45078,10,1658
(구)시민회관사거리,37326,92661,18032,92522,18032,139,3689
(주)경동세라믹스,89146,526,24,526,24,,18
(주)경인양행앞,42096,1091,910,1091,910,,66
(주)경인양행앞,42097,1750,3658,1750,3658,,180
(주)대한특수금속,39050,1191,68,1191,68,,41
(주)두남,39135,223,48,223,48,,9
(주)세모입구(린나이코리아),37585,1422,2039,1422,2039,,115
(주)세모입구(린나이코리아),40893,324,834,324,834,,38
(주)스킨이데아,89388,454,444,454,444,,29
(주)스킨이데아,89389,2078,13,2078,13,,69
(주)씨피엔텍,39133,625,3732,625,3732,,145
(주)씨피엔텍,39134,2234,458,2232,458,2,89
(주)창원,39029,3818,2980,3818,2980,,226
(주)창원,39030,4245,3731,4245,3731,,265
(주)하나금속,39124,13,64,13,64,,2
17사단.다임메가타운,40895,2085,4751,2082,4751,3,227
17사단입구,40832,10,512,7,512,3,17
1차풍림아이원,42642,5200,7,5200,7,,173
2001아울렛,40154,3266,5395,3266,5395,,288
2001아울렛,40159,29062,12644,29021,12644,41,1390
2001아울렛,40162,10214,20417,10185,20417,29,1021
2001아울렛부평점,40158,4526,2398,4503,2398,23,230
2차풍림아이원,42584,36,10613,36,10613,,354
3단지,40736,183,1668,183,1668,,61
3단지관리사무소,40107,1762,427,1762,427,,72
41번구종점,42174,1923,6108,1923,6108,,267
510번차고지,36145,982,370,981,370,1,45
540번종점,39470,3059,32,3021,32,38,103
6공단사거리,37577,313,2375,308,2375,5,89
6공단입구,37442,593,942,590,942,3,51
6공단입구,37443,933,1534,933,1534,,82
8부두,35181,158,1877,148,1877,10,67
8부두,35182,1435,1798,1419,1798,16,107
CJ인천2공장,35591,337,3269,334,3269,3,120
CJ인천2공장,35592,2235,99,2230,99,5,77
E편한세상,42453,3094,1884,3079,1884,15,165
E편한세상,42649,1426,3157,1424,3157,2,152
E편한세상,42726,3130,1563,3126,1563,4,156
GM물류센터,40568,490,1247,490,1247,,57
GS25편의점,36142,1211,2561,1192,2561,19,125
GS내리주유소,44147,4,,,,4,0
GS칼텍스,35168,576,24,567,24,9,20
GS칼텍스,35557,9,2018,9,2018,,67
GS칼텍스,89220,128,654,128,654,,26
GS칼텍스,89224,115,1441,115,1441,,51
GS칼텍스주유소,39814,177,12,177,12,,6
HD현대인프라코어,36081,622,1474,622,1474,,69
HD현대인프라코어,36083,2191,942,2186,942,5,104
HD현대인프라코어후문,36077,12,724,8,724,4,24
HD현대인프라코어후문,36078,3505,772,3501,772,4,142
JC회관,37383,4150,4256,4143,4256,7,280
JST기술연구소,89491,6,1659,6,1659,,55
JST기술연구소,89492,581,25,575,25,6,20
KCC아파트,42391,2042,1510,2038,1510,4,118
KG스틸,42008,2412,4471,2401,4471,11,229
KTX광명역4번출구,58057,2525,17,2525,17,,84
KT부평지사,40381,9932,6850,9811,6850,121,559
KT부평지사,40384,7477,12999,7438,12999,39,682
KT서인천지사,42932,1622,2664,1620,2664,2,142
KT서인천지사,42933,1716,951,1714,951,2,88
KT송도지점,38568,678,420,678,420,,36
KT온수분국,43523,657,251,656,251,1,30
KT인천공항지사,35095,227,50,227,50,,9
KT인천공항지사,35109,6752,3214,6725,3214,27,332
