시군구,행정동,정류장번호(ID),정류장명,상세위치,위도,경도,정류장설치유형,시내버스_경유노선번호,시외버스_경유노선번호,레드존여부,중앙차로여부,미세먼지 측정센서 설치여부,와이파이설치여부,안전비상벨설치여부,버스정보안내단말기(BIT) 유형,의자설치유형,바람막이설치여부,냉온풍기설치여부,공기청정기설치여부
성남시,시흥동,5001,판교제2테크노밸리,한국도로공사본사앞,37.411683 ,127.099350 ,쉘터형,"P9243(퇴근)(시내),5700A(시내),55(시내),P9242(퇴근)(시내),6900(시내),P9302(퇴근)(시내),101(시내),5600(시내),P9540(퇴근)(시내),9409(서울),P9241(퇴근)(시내),1009(시내),P9530(퇴근)(시내),5700B(시내),P9301(퇴근)(시내),310(시내),P9100(퇴근)(시내),3100(시내),누리2(시내),370(시내),1007-1(시내),315(시내),73-2(마을),66(마을),1007(시내),357(시내),382(시내)",해당없음,N,N,Y,Y,N,LCD(가로형 32''),일반의자,N,N,N
성남시,시흥동,5002,판교제2테크노밸리,한국도로공사본사건너,37.411333 ,127.099733 ,쉘터형,"5600(시내),P9241(출근)(시내),P9243(출근)(시내),1009(시내),5700A(시내),101(시내),370(시내),P9530(출근)(시내),P9242(출근)(시내),P9301(출근)(시내),6900(시내),P9100(출근)(시내),P9540(출근)(시내),1007-1(시내),9409(서울),1007(시내),357(시내),5700B(시내),P9302(출근)(시내),66(마을)",해당없음,N,N,N,Y,N,LCD(가로형 32''),일반의자,N,N,N
성남시,시흥동,5003,동산마을입구,시흥지하차도변 성남방면,37.422467 ,127.101233 ,지주형,"9800(시내),9409(서울),9400(시내)",해당없음,N,N,N,N,N,LED(3단6열),미설치,N,N,N
성남시,시흥동,5004,동산마을입구,시흥지하차도변 서울방면,37.422800 ,127.101400 ,쉘터형,"9400(시내),9800(시내)",해당없음,N,N,N,N,N,LED(3단6열),일반의자,N,N,N
성남시,고등동,5005,성남농협대왕지점.고등동우체국,고등동자치센터,37.428217 ,127.101650 ,쉘터형,"누리2(시내),1009(시내),6900(시내),342(시내),57(시내),5700A(시내),341(시내),1007(시내),9408(서울),5600(시내),66(마을),1007-1(시내),5700B(시내)",해당없음,N,N,N,Y,N,LCD(가로형 32''),일반의자,N,N,N
성남시,시흥동,5006,시흥사거리,남서울빌딩,37.420767 ,127.101917 ,쉘터형,"370(시내),101(시내),66(마을),87(마을),6900(시내),9409(서울),357(시내),1007(시내),1009(시내),5700B(시내),5700A(시내),5600(시내),231(시내),1007-1(시내)",해당없음,N,N,N,N,N,LCD(가로형 32''),일반의자,N,N,N
성남시,고등동,5007,시흥사거리.고등공공주택지구,주민센터앞,37.424600 ,127.102033 ,쉘터형,"342(시내),5700A(시내),9408(서울),101(시내),1009(시내),341(시내),5700B(시내),57(시내),231(시내),6900(시내),5600(시내),누리2(시내),66(마을),1007(시내),357(시내),370(시내)",해당없음,N,N,N,Y,N,LCD(가로형 32''),일반의자,N,N,N
성남시,고등동,5008,고등동우체국.성남농협대왕지점,순대국앞,37.428333 ,127.102050 ,쉘터형,"341(시내),5600(시내),66(마을),1007-1(시내),1009(시내),5700A(시내),342(시내),9408(서울),누리2(시내),5700B(시내),1007(시내),57(시내),6900(시내)",해당없음,N,N,Y,Y,N,LCD(가로형 32''),일반의자,N,N,N
성남시,시흥동,5009,시흥사거리,푸주옥건너,37.421117 ,127.102317 ,쉘터형,"1007(시내),357(시내),66(마을),370(시내),6900(시내),231(시내),5700B(시내),1007-1(시내),5700A(시내),101(시내),5600(시내),87(마을),1009(시내)",해당없음,N,N,N,N,N,LCD(가로형 32''),일반의자,N,N,N
성남시,고등동,5010,시흥사거리.고등공공주택지구,주민센터건너,37.424683 ,127.102467 ,쉘터형,"5600(시내),5700A(시내),1009(시내),342(시내),6900(시내),57(시내),누리2(시내),341(시내),9408(서울),1007(시내),5700B(시내)",해당없음,N,N,N,N,N,LCD(가로형 32''),일반의자,N,N,N
